user_id_placeholder,user_guid,_person_details_obj,_username_suffix_uuid_part,password_hash,livekitRoomName,_avatar_uuid,seller_rating,buyer_rating,stripe_customer_id,created_at,last_login,is_verified,is_banned,full_name,profile_picture_url,updated_at,username_raw,email,bio
1,usr-2e36bf40,"{'age': 68, 'bachelors_field': 'no degree', 'birth_date': '1957-01-15', 'city': 'Bronx', 'country': 'USA', 'county': 'Bronx County', 'education_level': 'less_than_9th', 'email_address': 'kniez@protonmail.com', 'ethnic_background': 'east asian', 'first_name': 'Ku', 'last_name': 'Niez', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': '', 'occupation': 'hairdresser_hairstylist_or_cosmetologist', 'phone_number': '929-506-2232', 'sex': 'Female', 'ssn': '065-71-9848', 'state': 'NY', 'street_name': 'Holabird Ave', 'street_number': 21, 'unit': '', 'uuid': 'dec4fce3-5001-4d5e-967f-47e5565fdc35', 'zipcode': '10472'}",80528e29,placeholder_hash_ac2a3819de2f4d7fbf4b00ab608f71ed,lk_user_e4a8c027,d64b90ce,3.0025004664903503,4.063813907858036,cus_39472ed196c844f2a65bd927ac382c33,2022-07-25,2023-11-28,1,0,Ku Niez,'https://synthetic-avatars.com/user_pics/' + _avatar_uuid + '.png',2022-07-25,ku_niez_1984,ku_niez_1984@outlook.com,Ku Niez (ku_niez_1984) is a passionate vintage fashion enthusiast who loves sharing unique finds and styling tips with fellow fashion lovers.
1,usr-da671625,"{'age': 51, 'bachelors_field': 'no degree', 'birth_date': '1974-02-03', 'city': 'San Antonio', 'country': 'USA', 'county': 'Bexar County', 'education_level': 'high_school', 'email_address': 'juanita.tran@gmail.com', 'ethnic_background': 'southeast asian', 'first_name': 'Juanita', 'last_name': 'Tran', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': '', 'occupation': 'educational_guidance_or_career_counselor_or_advisor', 'phone_number': '726-700-5280', 'sex': 'Female', 'ssn': '449-09-5190', 'state': 'TX', 'street_name': 'North Via Mia', 'street_number': 15, 'unit': 'Apt 117', 'uuid': '1a22900d-8513-4a94-8dd9-457b15ddb512', 'zipcode': '78230'}",36373c1f,placeholder_hash_e1ea4ca7f4524383826c4588bf2344a4,lk_user_f431d2d6,918720b4,3.6073649075275953,4.056012202279818,cus_cc30b7e61c5a40d6b1ebe83ef8694b8d,2022-04-06,2023-09-26,0,0,Juanita Tran,'https://synthetic-avatars.com/user_pics/' + _avatar_uuid + '.png',2022-04-06,juanita_tran19,juanita_tran19@gmail.com,Juanita Tran is a passionate home cook who loves sharing her delicious recipes and kitchen hacks. She's on a mission to make your meals more fun and flavorful!
1,usr-441f0b7e,"{'age': 67, 'bachelors_field': 'stem_related', 'birth_date': '1958-02-19', 'city': 'Ben Wheeler', 'country': 'USA', 'county': 'Van Zandt County', 'education_level': 'graduate', 'email_address': 'david_lejeune@yahoo.com', 'ethnic_background': 'white', 'first_name': 'David', 'last_name': 'Lejeune', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': 'Joseph', 'occupation': 'painter_or_paperhanger', 'phone_number': '903-384-6187', 'sex': 'Male', 'ssn': '459-28-3605', 'state': 'TX', 'street_name': 'East Iron Horse Court', 'street_number': 133, 'unit': '', 'uuid': '585ccb75-19e0-4a2b-82ed-582023478e8f', 'zipcode': '75754'}",b676183c,placeholder_hash_304d739ebb5a42e4aa7c6f2b0790f3de,lk_user_b1753796,d35501a2,4.688494305068501,3.754190718114256,cus_ead8bac0495a4aafb0a410b4a19d8517,2022-08-24,2023-08-28,1,0,David Lejeune,'https://synthetic-avatars.com/user_pics/' + _avatar_uuid + '.png',2022-08-24,david_lejeune89,david_lejeune89@outlook.com,"David Lejeune is a passionate photographer and avid traveler, always seeking the next adventure. He shares his journey through the lens, capturing the world one frame at a time."
1,usr-856e1aa6,"{'age': 20, 'bachelors_field': 'no degree', 'birth_date': '2004-07-07', 'city': 'Juncos', 'country': 'USA', 'county': 'Juncos Municipio', 'education_level': 'high_school', 'email_address': 'kelvinantonio@icloud.com', 'ethnic_background': 'puerto rican', 'first_name': 'Kelvin', 'last_name': 'Pena', 'locale': 'en_US', 'marital_status': 'never_married', 'middle_name': 'Antonio', 'occupation': 'retail_salesperson', 'phone_number': '787-358-7286', 'sex': 'Male', 'ssn': '593-29-6981', 'state': 'PR', 'street_name': 'Vereda Real', 'street_number': 118, 'unit': 'James Bond', 'uuid': '8ce94e41-853d-4fca-9d3c-121fea73d6f7', 'zipcode': '00777'}",42839309,placeholder_hash_85919d4b45464a1499e9d8e7167ebdb1,lk_user_3e253f69,9673f55d,3.170048320271648,4.051393029610618,cus_eccc0ba71690481da748f8d4009085d5,2022-09-26,2023-11-04,0,0,Kelvin Pena,'https://synthetic-avatars.com/user_pics/' + _avatar_uuid + '.png',2022-09-26,kelvin_pena_88,kelvin_pena_88@gmail.com,Kelvin Pena (kelvin_pena_88) is a tech enthusiast always on the hunt for the latest gadgets and accessories. He loves sharing his finds and helping others level up their tech game.
1,usr-b906ebde,"{'age': 44, 'bachelors_field': 'business', 'birth_date': '1981-05-18', 'city': 'North Las Vegas', 'country': 'USA', 'county': 'Clark County', 'education_level': 'graduate', 'email_address': 'tannerk1981@gmail.com', 'ethnic_background': 'latin american indian', 'first_name': 'Karen', 'last_name': 'Tanner', 'locale': 'en_US', 'marital_status': 'never_married', 'middle_name': 'K', 'occupation': 'emergency_management_director', 'phone_number': '930-933-4860', 'sex': 'Female', 'ssn': '530-15-5161', 'state': 'NV', 'street_name': 'S 1100 E', 'street_number': 24, 'unit': '', 'uuid': '0d281d87-0f73-4685-bace-7c95f9f0211e', 'zipcode': '89031'}",81c209ac,placeholder_hash_eeffd176ef784e5ca60de060f5cae417,lk_user_47500567,b819cf44,3.1029083428243727,3.890393934723897,cus_613127931d5445e9a952e42792a32e5d,2023-04-17,2023-12-01,0,0,Karen Tanner,'https://synthetic-avatars.com/user_pics/' + _avatar_uuid + '.png',2023-04-17,karen_tanner1983,karen_tanner1983@outlook.com,"Karen Tanner (@karen_tanner1983) is a vintage fashion enthusiast, always on the hunt for unique pieces to add to her collection. She loves sharing her finds with the community and helping others style their own vintage looks."
1,usr-6665bd40,"{'age': 36, 'bachelors_field': 'no degree', 'birth_date': '1988-08-12', 'city': 'Montello', 'country': 'USA', 'county': 'Green Lake County', 'education_level': 'some_college', 'email_address': 'jeffrey.rentschler@yahoo.com', 'ethnic_background': 'white', 'first_name': 'Jeffrey', 'last_name': 'Rentschler', 'locale': 'en_US', 'marital_status': 'never_married', 'middle_name': 'J', 'occupation': 'mathematical_science_occupation', 'phone_number': '715-585-8166', 'sex': 'Male', 'ssn': '395-51-3482', 'state': 'WI', 'street_name': 'United States Highway 231', 'street_number': 161, 'unit': '', 'uuid': 'a063bb3f-c180-41b5-8021-a96ae9210af3', 'zipcode': '53949'}",703c5144,placeholder_hash_98fcc9c213614620bca6b775a230eb49,lk_user_82c23766,56ee5cff,3.923615227875189,3.997494272480513,cus_8bac1ba6b3fe4248aa3dabcb0b8d34d8,2022-08-22,2023-10-29,1,0,Jeffrey Rentschler,'https://synthetic-avatars.com/user_pics/' + _avatar_uuid + '.png',2022-08-22,jeff_renchler88,jeff_renchler88@outlook.com,Jeffrey Rentschler (@jeff_renchler88) is a passionate outdoorsman who loves sharing his adventures and gear recommendations with fellow enthusiasts. He's always up for a hike and never leaves home without his trusty camera.
1,usr-b6e3ac3f,"{'age': 37, 'bachelors_field': 'no degree', 'birth_date': '1987-09-01', 'city': 'Conway', 'country': 'USA', 'county': 'Perry County', 'education_level': 'some_college', 'email_address': 'rhoff87@protonmail.com', 'ethnic_background': 'white', 'first_name': 'Roger', 'last_name': 'Hoff', 'locale': 'en_US', 'marital_status': 'separated', 'middle_name': 'Mack', 'occupation': 'cleaner_of_vehicle_or_equipment', 'phone_number': '501-931-0003', 'sex': 'Male', 'ssn': '431-23-7542', 'state': 'AR', 'street_name': 'Allen Dr', 'street_number': 55, 'unit': '', 'uuid': 'da7cb392-f8c8-466b-8725-08d284864638', 'zipcode': '72034'}",4db8b675,placeholder_hash_2e88f30e5da144e9a4b8e6e91f50d5c9,lk_user_e202f7ab,6ab0da98,3.096444543098205,4.085689392937594,cus_c17c700fadb748de9f0a6f9f1a0688ba,2022-04-20,2023-07-11,1,0,Roger Hoff,'https://synthetic-avatars.com/user_pics/' + _avatar_uuid + '.png',2022-04-20,roger_hoff88,roger_hoff88@outlook.com,"Roger Hoff (roger_hoff88) is a vintage tech enthusiast who loves sharing his curated collection of retro gadgets.

Roger Hoff (roger_hoff88) is on a mission to help others find unique, handcrafted treasures from artisans around the world."
1,usr-d0668a0a,"{'age': 79, 'bachelors_field': 'arts_humanities', 'birth_date': '1945-07-05', 'city': 'Denver', 'country': 'USA', 'county': 'Jefferson County', 'education_level': 'bachelors', 'email_address': 'evitaclark1945@hotmail.com', 'ethnic_background': 'white', 'first_name': 'Evita', 'last_name': 'Clark', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': 'Grace', 'occupation': 'claims_adjuster_appraiser_examiner_or_investigator', 'phone_number': '983-593-9653', 'sex': 'Female', 'ssn': '521-93-4755', 'state': 'CO', 'street_name': 'Lake Ridge Dr', 'street_number': 138, 'unit': 'Apt 714', 'uuid': '5729a319-6b84-46c3-96ee-a449b8dae670', 'zipcode': '80226'}",5647e662,placeholder_hash_8916a18fa09e4038a1eea86e903e40f6,lk_user_9a57386a,3cd77487,3.964284524409432,4.922791779815461,cus_e4ecc4ac7553417a818afc0bf1d9d3bb,2022-06-13,2023-08-14,0,1,Evita Clark,'https://synthetic-avatars.com/user_pics/' + _avatar_uuid + '.png',2022-06-13,evita_clark77,evita_clark77@gmail.com,"Evita Clark (@evita_clark77) is a vintage fashion enthusiast who loves sharing her unique finds with the world. She believes that every piece of clothing tells a story, and she's always on the hunt for the next great tale."
1,usr-47580ba2,"{'age': 29, 'bachelors_field': 'stem', 'birth_date': '1996-03-08', 'city': 'Memphis', 'country': 'USA', 'county': 'Shelby County', 'education_level': 'graduate', 'email_address': 'dianerivers96@gmail.com', 'ethnic_background': 'black', 'first_name': 'Diane', 'last_name': 'Rivers', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': 'Kara', 'occupation': 'management_analyst', 'phone_number': '901-481-1473', 'sex': 'Female', 'ssn': '415-67-9608', 'state': 'TN', 'street_name': 'Oak Ridge Hwy', 'street_number': 27, 'unit': '', 'uuid': '808f8461-0dc9-4c6a-8e50-9aeceee05562', 'zipcode': '38103'}",5837514b,placeholder_hash_7f0e854597bb4fa2b449b15b60754087,lk_user_a7e548a3,74a4d1e6,3.0098944121675397,4.554772153657442,cus_16a888b55ee1435b81bb44fef8a1ee25,2022-12-26,2023-07-28,1,0,Diane Rivers,'https://synthetic-avatars.com/user_pics/' + _avatar_uuid + '.png',2022-12-26,diane_rivers_22,diane_rivers_22@gmail.com,"Diane Rivers is a vintage fashion enthusiast, with a shop full of unique, handpicked treasures for you to love."
1,usr-e3019d98,"{'age': 52, 'bachelors_field': 'no degree', 'birth_date': '1973-01-23', 'city': 'Raynham', 'country': 'USA', 'county': 'Plymouth County', 'education_level': 'high_school', 'email_address': 'donaldllekan@icloud.com', 'ethnic_background': 'white', 'first_name': 'Donald', 'last_name': 'Lekan', 'locale': 'en_US', 'marital_status': 'divorced', 'middle_name': 'Lockwood', 'occupation': 'purchasing_agent', 'phone_number': '612-726-5589', 'sex': 'Male', 'ssn': '020-61-2869', 'state': 'MA', 'street_name': 'Crestview Circle', 'street_number': 19, 'unit': '2', 'uuid': '1a89eb75-3b52-4a56-a9e7-90f0d21fce7d', 'zipcode': '02767'}",ce7aa78f,placeholder_hash_c116348cae5f4280893224f44c561ee8,lk_user_77754fc5,14f3df1b,4.470310740134764,3.6158749983145615,cus_23178f4e4fcc40fdb7b089fb4e3c1a3b,2022-09-21,2023-11-12,1,0,Donald Lekan,'https://synthetic-avatars.com/user_pics/' + _avatar_uuid + '.png',2022-09-21,donald_lekan_22,donald_lekan_22@outlook.com,"Donald Lekan is a tech enthusiast with a passion for vintage sneakers, always on the hunt for rare finds.  He loves to share his finds and knowledge with the community."
