order_id_placeholder,order_guid,buyer_user_guid_fk,seller_user_guid_fk,auction_guid_fk,product_guid_fk,total_amount,shipping_cost,tax_amount,status,payment_intent_id,created_at,shipping_address_json,updated_at
1,ord-3e538e0c,usr-31e56c24,usr-03e9a3ba,auc-5476e9c8,prod-f84c68c5,125.23104320866778,46.76482026037108,11.9780796788029,paid,pi_59e8d1bb5b7f4195a2d8e442c75ebf83,2023-10-12,"```json
{
  ""street"": ""123 Maplewood Drive"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2023-10-12
1,ord-0d6dcb40,usr-2a743762,usr-ad0facb5,auc-3efd61ed,prod-9313b7ef,339.6516910900062,26.936056019552478,91.36580382205582,refunded,pi_ced7cb2e2b4b448a940e0ba45ff08cda,2024-01-18,"```json
{
  ""street"": ""123 Maplewood Dr"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2024-01-18
1,ord-12d2e6aa,usr-18e5deed,usr-d86bbc87,auc-1b79027b,prod-abdb36f3,327.3882379287586,16.06756681472999,99.65538398758811,delivered,pi_4940df4bc2d443e0adf349c2269a889d,2023-10-02,"```json
{
  ""street"": ""123 Maplewood Drive"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2023-10-02
1,ord-84c67af7,usr-24bbb2d6,usr-32ecc7cc,auc-c45919f4,prod-ff9cff47,964.6926069691312,48.074424610581474,73.56441214586167,pending,pi_677a86c430f5453897f990d6dc409821,2023-10-17,"```json
{
  ""street"": ""1234 Elm Street"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2023-10-17
1,ord-f57e1b78,usr-38bb498f,usr-576c011d,auc-6d1c934f,prod-ae87c23b,299.8432205280071,25.699849003760445,87.66528077449854,paid,pi_2eb51b5c2b6a4cf589916ab7cd546fa7,2023-06-09,"```json
{
  ""street"": ""123 Maplewood Drive"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2023-06-09
1,ord-a2d245c8,usr-821b5391,usr-63139c4c,auc-152a8bc1,prod-0f772f38,95.16353776899344,9.380684924754663,3.9908575204373187,paid,pi_67de88eab719420fb6f62756981b901d,2023-08-03,"```json
{
  ""street"": ""123 Maplewood Lane"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2023-08-03
1,ord-b241afaf,usr-c879d041,usr-e36b5a97,auc-779e8c11,prod-62e270dd,617.0694354100124,49.83239981025911,24.628435579170915,paid,pi_61ebbf3725f34b84ade618a007ab7a47,2023-08-04,"```json
{
  ""street"": ""1234 Elm Street"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2023-08-04
1,ord-dbf5831e,usr-aff16f5a,usr-d86bbc87,auc-18ec8e67,prod-66580a9b,578.7269462852331,45.2618169138102,26.817668893218627,paid,pi_1aef657a8fa341b1a1d15ccda98cd334,2023-07-23,"```json
{
  ""street"": ""1234 Elm Street Apt 5B"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2023-07-23
1,ord-ea97d43a,usr-0597d68f,usr-d3a930b6,auc-d300ab6e,prod-3cd6115e,1173.1258123561192,24.8501641871036,21.326761398846728,refunded,pi_5fd5b979a28240fcabc8ec92c62e62f3,2023-06-19,"```json
{
  ""street"": ""123 Maplewood Drive"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2023-06-19
1,ord-acc203a7,usr-0bc75854,usr-e18a7b96,auc-f65ba89a,prod-60fd5e71,411.01340628216377,9.820458248572766,4.802252239532068,delivered,pi_a2344347df1f47459ff9479dbf098dd7,2023-08-19,"```json
{
  ""street"": ""1234 Elm Street"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2023-08-19
1,ord-27eb0cc6,usr-7d1ac601,usr-1a64f9e8,auc-fc15288f,prod-a913a778,124.70545106774648,13.815031518718278,21.88379255668863,paid,pi_f7ba8e10b23349349614b4d6e2148d15,2023-12-31,"```json
{
  ""street"": ""1234 Elm Street Apt 5"",
  ""city"": ""Springfield"",
  ""state"": ""IL"",
  ""zip_code"": ""62704"",
  ""country"": ""USA""
}
```",2023-12-31
